ITS2 type profile UID	Clade	Majority ITS2 sequence	Associated species	ITS2 profile abundance local	ITS2 profile abundance DB	ITS2 type profile	Sequence accession / SymPortal UID	Average defining sequence proportions and [stdev]
74176	C	C1	S. goreaui	1	15	C1-C1av-C1aw-C3ct-C3-C1c	2-14840-18685-36973-308-32	0.665[nan]-0.103[nan]-0.095[nan]-0.057[nan]-0.044[nan]-0.036[nan]
74569	C	C1	S. goreaui	1	14	C1/C3/C1c-C1b-C72k	2-308-32-4-835	0.839[nan]-0.077[nan]-0.039[nan]-0.035[nan]-0.010[nan]
74570	C	C1	S. goreaui	1	282	C1/C3-C1c-C1b-C72k-C1w	2-308-32-835-4-833	0.793[nan]-0.094[nan]-0.066[nan]-0.022[nan]-0.021[nan]-0.004[nan]
74062	C	C1	S. goreaui	1	50	C1d/C1/C42.2-C1b-C3cg-C3	2-106-1-4-32-108	0.402[nan]-0.266[nan]-0.218[nan]-0.054[nan]-0.034[nan]-0.026[nan]
74199	C	C1	S. goreaui	1	28	C1/C93a	2-869	0.556[nan]-0.444[nan]
74200	C	C42.2	None	1	60	C42.2	1	1.000[nan]
74209	C	C62	None	1	1	C62	62871	1.000[nan]
74092	C	C1	S. goreaui	1	138	C42a/C42.2/C1/C1b/C1j/C3-C1au	2-1-82-4-20-32-15	0.304[nan]-0.260[nan]-0.223[nan]-0.068[nan]-0.062[nan]-0.046[nan]-0.037[nan]
74608	C	C3	S. goreaui	1	237	C50c/C50a/C3/C1-C50f-C3b-C50u	32-20940-37038-2-35-37040-80	0.330[nan]-0.248[nan]-0.241[nan]-0.098[nan]-0.034[nan]-0.024[nan]-0.024[nan]
74225	C	C50a	None	1	45	C50a	20940	1.000[nan]
74306	D	D1	S. trenchii	8	111	D1-D4-D4c-D1c-D2	853-854-855-1730-2308	0.605[0.064]-0.202[0.042]-0.076[0.030]-0.068[0.029]-0.049[0.039]
74302	D	D4/D6	S. glynnii,S. trenchii	4	41	D1/D4/D6	854/933-853	0.369[0.062]/0.340[0.195]/0.291[0.136]
74310	D	D1	S. glynnii	2	7	D1/D6	853-933	0.565[0.047]-0.435[0.047]
74322	D	D4	None	2	26	D4	854	1.000[0.000]
74345	D	D5	None	2	25	D5	1732	1.000[0.000]
74375	D	D5	None	1	15	D5-D4-D9b-D4u	1732-854-18699-16955	0.672[nan]-0.180[nan]-0.117[nan]-0.032[nan]
74395	D	D1bv	None	1	1	D1bv	866929	1.000[nan]
74299	D	D1	S. trenchii	1	26	D1/D4-D2-D4c	853-854-855-1730	0.632[nan]-0.228[nan]-0.083[nan]-0.056[nan]
74311	D	D1	S. trenchii	1	35	D1/D4-D1c	853-854-2308	0.705[nan]-0.169[nan]-0.126[nan]
74336	D	D1	S. trenchii	1	31	D1-D4-D2-D4c-D4f	853-854-855-1730-2332	0.671[nan]-0.169[nan]-0.108[nan]-0.033[nan]-0.019[nan]
